id,title,text,subject,date
1,"Global Climate Summit Reaches Historic Agreement","World leaders signed a binding agreement to reduce carbon emissions by 45% by 2030. The pact includes funding mechanisms for developing nations.",climate,2026-02-20
2,"FDA Approves New Treatment for Alzheimer's Disease","Regulatory agency gives green light to lecanemab, a monoclonal antibody shown to slow cognitive decline in early-stage patients.",health,2026-02-18
3,"Tesla Reports Record Quarterly Earnings","Electric vehicle manufacturer surpasses analyst expectations with $25.4 billion in quarterly revenue.",business,2026-02-15
4,"Wimbledon 2026 Draw Announced","Tournament organizers release seedings for the upcoming Grand Slam event. Defending champion Djokovic faces top seed Sinner.",sports,2026-02-14
5,"European Parliament Passes Digital Rights Bill","New legislation aims to strengthen data privacy protections for citizens across EU member states.",politics,2026-02-13
6,"Major Archaeological Discovery in Egypt","Archaeologists uncover previously unknown tomb near the Valley of the Kings dating back 3,400 years.",science,2026-02-12
7,"Amazon Expands Same-Day Delivery Service","E-commerce giant announces expansion to 500 new cities for one-day shipping.",business,2026-02-11
8,"Nobel Prize Winner Delivers Keynote on Quantum Computing","Esteemed physicist discusses breakthrough applications in cryptography and artificial intelligence.",science,2026-02-10
9,"International Space Station Hosts Record Number of Astronauts","Twelve space explorers conduct experiments in microgravity environment.",science,2026-02-09
10,"New Cancer Screening Method Shows 99% Accuracy","Research team develops blood test that detects multiple cancer types at early stages.",health,2026-02-08
11,"Stock Market Reaches All-Time High","S&P 500 closes at 6,850 points after sustained economic growth.",business,2026-02-07
12,"Olympics Preparation Accelerates in Host City","Construction crews finalize venues as opening ceremony approaches.",sports,2026-02-06
13,"Congressional Committee Launches Investigation into Tech Monopolies","Lawmakers subpoena major platform executives to testify about market practices.",politics,2026-02-05
14,"Renewable Energy Installations Hit New Record","Global solar and wind capacity reaches 2,500 gigawatts for the first time.",climate,2026-02-04
15,"University Study Confirms Brain Plasticity Benefits from Exercise","Researchers find physical activity strengthens neural connections in aging adults.",health,2026-02-03
16,"Major Film Festival Awards Best Picture Prize","Critical acclaim goes to indie drama about climate refugees.",entertainment,2026-02-02
17,"Central Bank Raises Interest Rates Again","Monetary policy adjustment targets persistent inflation concerns.",business,2026-02-01
18,"World Cup Qualifiers Produce Shocking Upsets","Underdog nations advance to tournament as favorites eliminated.",sports,2026-01-31
19,"New Law Protects Gig Workers' Rights","Legislation ensures access to benefits for contract employees.",politics,2026-01-30
20,"Breakthrough in Malaria Prevention Launched","New vaccine demonstrates 95% efficacy in clinical trials across Africa.",health,2026-01-29
